name,website,vertical ,sub vertical,Descripcion / solución ,país ¿dónde se encuentra su principal sede de operaciones? ,ciudad/región ,Estadío actual ,Teléfono ,Mail ,LINKEDIN,INSTAGRAM ,FACEBOOK,X (twitter),Logo ,Founder/s,Founded,Modelo de Negocio,"DESTACADO/ BADGES ¿QUÉ LA HACE ESPECIAL?""",Funding total 2026,ETAPA DE MADUREZ ¿En qué momento del crecimiento está?,ÁREA INFLUENCIA: ¿qué alcance tiene su solución hoy?,"ESTADIO SOLUCIÓN (¿En qué nivel de madurez tecnológica se encuentra tu proyecto?)""",IMPACTO /SOCIOAMBIENTAL,RESULTADO / OUTCOME ¿QUÉ PASÓ CON LA EMPRESA?
Finally Foods,finally-foods.com,Agtech,Ag Biotech,,,,,,,,,,,,,2020,,,,,,,,
Finapp,finapptech.com,Agtech,Farm Mgmt & Precision Farming,,,,,,,,,,,,,2025,,,,,,,,
FirstWave Group,firstwave.ag,Agtech,Aquaculture,,,,,,,,,,,,,2025,,,,,,,,
Fishway,fishway.be,Next-Gen Food & Drinks,Cellular Agriculture,,,,,,,,,,,,,2021,,,,,,,,
Flowtify,flowtify.de,Food Safety & Traceability,Food Safety & Quality,,,,,,,,,,,,,2025,,,,,,,,
Food Brewer,foodbrewer.com,Food Processing,Biotech/Synthetisation,,,,,,,,,,,,,2025,,,,,,,,
Food Cycle Science,foodcyclescience.com,Surplus & Waste Mgmt,Food Waste Tech,,,,,,,,,,,,,2025,,,,,,,,
Food Maven,foodmaven.com,Surplus & Waste Mgmt,Food Redistribution,,,,,,,,,,,,,2021,,,,,,,,
Food Safe System,foodsafesystem.com,Food Safety & Traceability,Automated Compliance,,,,,,,,,,,,,2021,,,,,,,,
Food-X,food-x.com,Consumer Apps & Services,Startup Accelerator,,,,,,,,,,,,,2020,,,,,,,,
FoodFacts,foodfacts.se,Consumer Apps & Services,Retail Tech,,,,,,,,,,,,,2020,,,,,,,,
FOODICS,foodics.com,Kitchen & Restaurant Tech,Restaurant Management,,,,,,,,,,,,,2025,,,,,,,,
Foodietips,https://www.google.com/search?q=foodietips.com,Consumer Apps & Services,Restaurant Discovery,,,,,,,,,,,,,2021,,,,,,,,
Foodme Maestro,foodmaestro.me,Consumer Apps & Services,Personalized Nutrition Data,,,,,,,,,,,,,2020,,,,,,,,
Foodmoms,foodmoms.de,Consumer Apps & Services,Family Meal Planning,,,,,,,,,,,,,2020,,,,,,,,
Foodsi,foodsi.pl,Surplus & Waste Management,Food Waste Tech,,,,,,,,,,,,,2020,,,,,,,,
Foodspace Technology,foodspace.ai,Consumer Apps & Services,Data Intelligence,,,,,,,,,,,,,2025,,,,,,,,
Foodtouch,https://www.google.com/search?q=foodtouch.com,Food Safety & Traceability,Active Packaging / Preservation,,,,,,,,,,,,,2021,,,,,,,,
Foodvisor,foodvisor.io,Consumer Apps & Services,AI Nutrition Coaching,,,,,,,,,,,,,2020,,,,,,,,
Foody,getfoody.com,Consumer Apps & Services,Food Delivery Platform,,,,,,,,,,,,,2020,,,,,,,,
Foorban,foorban.com,Food Delivery,Catering & Vending Machines,,,,,,,,,,,,,2020,,,,,,,,
Foreverland,foreverland.it,Next-Gen Food & Drinks,Plant-based,,,,,,,,,,,,,2025,,,,,,,,
Fork Farms,forkfarms.com,Agtech,Vertical & Indoor Farming,,,,,,,,,,,,,2025,,,,,,,,
Forte Biotech,fortebio.tech,Food Safety & Traceability,Food Safety & Quality,,,,,,,,,,,,,2025,,,,,,,,
FOTENIX,fotenix.tech,Agtech,Farm Mgmt & Precision Farming,,,,,,,,,,,,,2025,,,,,,,,
Fotortec,fotortec.com,Food Processing,Biotech/Synthetisation,,,,,,,,,,,,,2025,,,,,,,,
Frankles,frankles.cl,Next-Gen Food & Drinks,Plant-based Ingredients,,,,,,,,,,,,,2025,,,,,,,,
FreezeM,freezem.com,Surplus & Waste Management,Upcycled Ingredients,,,,,,,,,,,,,2021,,,,,,,,
Fresh and Safe,freshandsafe.com,Food Safety & Traceability,Food Safety Tech,,,,,,,,,,,,,2025,,,,,,,,
Fresh Check,freshcheck.co.Reino Unido,Food Safety & Traceability,Hygiene Verification Tech,,,,,,,,,,,,,2021,,,,,,,,
Fresh In Your Box,freshinyourbox.es,Consumer Apps & Services,Fresh Produce Subscription,,,,,,,,,,,,,2020,,,,,,,,
Fresh Inset,freshinset.com,Surplus & Waste Management,Food Waste Tech,,,,,,,,,,,,,2020,,,,,,,,
Fresh Taste,freshtaste.de,Food Delivery,Catering/ Office Services & Vending Machines,,,,,,,,,,,,,2025,,,,,,,,
Freshbox,freshbox.eu,Food Safety & Traceability,Smart Container Logistics,,,,,,,,,,,,,2025,,,,,,,,
Freshy,freshy.it,Surplus & Waste Mgmt,Grocery Waste Reduction,,,,,,,,,,,,,2020,,,,,,,,
Fricon,fricon.pt,Food Processing,Cooling & Freezing Tech,,,,,,,,,,,,,2020,,,,,,,,
Frigo Magic,frigomagic.com,Consumer Apps & Services,Meal Planning App,,,,,,,,,,,,,2020,,,,,,,,
Frioclima,frioclima.com,Food Processing,Industrial Refrigeration,,,,,,,,,,,,,2021,,,,,,,,
Frizata,frizata.com,Consumer Apps & Services,Online Grocery,,,,,,,,,,,,,2020,,,,,,,,
Frogtek,frogtek.org,Consumer Apps & Services,Data for Micro-retailers,,,,,,,,,,,,,2021,,,,,,,,
Fruggies,fruggies.com,Next-Gen Food & Drinks,Functional Foods & Drinks,,,,,,,,,,,,,2020,,,,,,,,
Fruitsapp,fruitsapp.com,Consumer Apps & Services,B2B Fruit Marketplace,,,,,,,,,,,,,2025,,,,,,,,
FruPro,frupro.com,Food Delivery,B2B Marketplaces,,,,,,,,,,,,,2020,,,,,,,,
FUL Foods,fulcompany.com,Next-Gen Food & Drinks,Algae-based Beverages,,,,,,,,,,,,,2025,,,,,,,,
Fungu'it,funguit.fr,Next-Gen Food & Drink,Fungi-based Ingredients,,,,,,,,,,,,,2021,,,,,,,,
Future Biome,futurebiome.com,Next-Gen Food & Drinks,Meal Replacements & Supplements,,,,,,,,,,,,,2020,,,,,,,,
Future Farm,futurefarm.io,Next-Gen Food & Drink,Plant-based Meat,,,,,,,,,,,,,2025,,,,,,,,
Future Food Institute,futurefoodinstitute.org,Consumer Apps & Services,Food Innovation Ecosystem,,,,,,,,,,,,,2020,,,,,,,,
Fybraworks,https://www.google.com/search?q=fybraworks.com,Next-Gen Food & Drinks,Plant-based Proteins,,,,,,,,,,,,,2020,,,,,,,,
Fyto,fyto.us,Agtech,Aquatic Crop Farming,,,,,,,,,,,,,2021,,,,,,,,
Fábrica Meatz,https://www.google.com/search?q=fabricameatz.com.br,Next-Gen Food & Drinks,Plant-based Meat,,,,,,,,,,,,,2020,,,,,,,,
Gaia Software,gaiak12.com,Kitchen & Restaurant Tech,Restaurant Ops & POS,,,,,,,,,,,,,2021,,,,,,,,
Gaia Tech,gaiatech.ch,Surplus & Waste Mgmt,Upcycled Ingredients,,,,,,,,,,,,,2025,,,,,,,,
Galapp,galapagoagro.co,Agtech,Farm Mgmt & Precision Farming,,,,,,,,,,,,,2025,,,,,,,,
Galy,galy.co,Agtech,Cellular Agriculture (Cotton/Crops),,,,,,,,,,,,,2025,,,,,,,,
Gander,gander.co,Surplus & Waste Mgmt,Food Waste Tech,,,,,,,,,,,,,2020,,,,,,,,
Garden Fresh Gourmet,gardenfreshgourmet.com,Next-Gen Food & Drink,Fresh Salsas / Dips,,,,,,,,,,,,,2025,,,,,,,,
Gardin,gardin.ag,Agtech,Farm Mgmt & Precision Farming,,,,,,,,,,,,,2020,,,,,,,,
Garçon Wines,garconwines.com,Food Safety & Traceability,Sustainable Wine Packaging,,,,,,,,,,,,,2025,,,,,,,,
Gaston Ai,gastonai.com,Consumer Apps & Services,Meal Planning & Nutrition,,,,,,,,,,,,,2020,,,,,,,,
Gastrograph AI,gastrograph.com,Next-Gen Food & Drink,AI Sensory Analysis,,,,,,,,,,,,,2025,,,,,,,,
GEA Group,gea.com,Food Processing,Food Manufacturing Tech,,,,,,,,,,,,,2020,,,,,,,,
Gencis,genecis.co,Surplus & Waste Mgmt,Bioplastics from Food Waste,,,,,,,,,,,,,2020,,,,,,,,
GENEXIS BIOTECH,genexisbiotech.com,Food Processing,Biotech/Synthetisation,,,,,,,,,,,,,2020,,,,,,,,
Get Your Daily,getyourdaily.it,Next-Gen Food & Drink,Functional Supplements,,,,,,,,,,,,,2025,,,,,,,,
GeXLab,gexlab.com,Agtech,Farm Mgmt & Precision Farming,,,,,,,,,,,,,2020,,,,,,,,
Gimber,gimber.com,Next-Gen Food & Drink,Non-alcoholic Ginger Drinks,,,,,,,,,,,,,2025,,,,,,,,
Givetogether,https://www.google.com/search?q=givetogether.com,Consumer Apps & Services,Social Impact Dining,,,,,,,,,,,,,2020,,,,,,,,
Global Cerah,globalcerah.com,Surplus & Waste Mgmt,Upcycled Ingredients,,,,,,,,,,,,,2020,,,,,,,,
Global Sustainable Transformation,gstransform.de,Food Processing,Biotech/Synthetisation,,,,,,,,,,,,,2025,,,,,,,,
Go4Life,go4life.pt,Next-Gen Food & Drinks,Functional Food,,,,,,,,,,,,,2025,,,,,,,,
Goat,https://www.google.com/search?q=goat-nutrition.com,Next-Gen Food & Drink,Targeted Sports Nutrition,,,,,,,,,,,,,2021,,,,,,,,
Gold&Green Foods,goldandgreenfoods.com,Next-Gen Food & Drinks,Plant-based Proteins,,,,,,,,,,,,,2020,,,,,,,,
Good Catch Foods,goodcatchfoods.com,Next-Gen Food & Drinks,Plant-based Seafood,,,,,,,,,,,,,2021,,,,,,,,
Good Club,goodclub.co.Reino Unido,Consumer Apps & Services,Sustainable Grocery,,,,,,,,,,,,,2021,,,,,,,,
Good Food Institute,gfi.org,Next-Gen Food & Drink,Alt-protein Advocacy,,,,,,,,,,,,,2021,,,,,,,,
Good Leaf,goodleaf.ca,Agtech,Vertical Farming,,,,,,,,,,,,,2020,,,,,,,,
Good Nature,goodnature.com,Food Processing,Cold-press Equipment,,,,,,,,,,,,,2020,,,,,,,,
GoodMYLK Co.,goodmylk.co,Next-Gen Food & Drinks,Alternative Dairy,,,,,,,,,,,,,2020,,,,,,,,
Goodoo,goodoo.nl,Next-Gen Food & Drinks,Plant-based,,,,,,,,,,,,,2020,,,,,,,,
Goodside Foods,https://www.google.com/search?q=goodsidefoods.com,Next-Gen Food & Drink,Plant-based Crumbles,,,,,,,,,,,,,2025,,,,,,,,
GoParity,goparity.com,Consumer Apps & Services,Sustainable Finance,,,,,,,,,,,,,2020,,,,,,,,
Gousto,gousto.co.Reino Unido,Consumer Apps & Services,Meal Kit Subscription,,,,,,,,,,,,,2021,,,,,,,,
Grainstone,https://www.google.com/search?q=grainstone.com.au,Surplus & Waste Mgmt,Circular Economy,,,,,,,,,,,,,2020,,,,,,,,
Graneet,graneet.fr,Kitchen & Restaurant Tech,SaaS for Food Ops,,,,,,,,,,,,,2021,,,,,,,,
Graphen,graphen.ai,Consumer Apps & Services,AI for Food Supply Chain,,,,,,,,,,,,,2020,,,,,,,,
Green City Farming,greencityfarming.com,Agtech,Vertical & Indoor Farming,,,,,,,,,,,,,2020,,,,,,,,
Green Code,greencode.fr,Surplus & Waste Mgmt,Anti-waste Labelling,,,,,,,,,,,,,2025,,,,,,,,
Green Monday,greenmonday.org,Next-Gen Food & Drink,Alt-protein Distribution,,,,,,,,,,,,,2020,,,,,,,,
Green On,green-on.se,Next-Gen Food & Drinks,Protein Fermentation,,,,,,,,,,,,,2020,,,,,,,,
Green Spot Technologies,greenspot-tech.com,Surplus & Waste Mgmt,Upcycled Ingredients,,,,,,,,,,,,,2025,,,,,,,,
Greenhub Solutions,greenhub.eu,Agtech,Vertical & Indoor Farming,,,,,,,,,,,,,2025,,,,,,,,
Greenlight Biosciences,greenlightbiosciences.com,Agtech,Ag Biotech,,,,,,,,,,,,,2025,,,,,,,,
GreenPods,greenpods.io,Agtech,Sustainable Growing Systems,,,,,,,,,,,,,2021,,,,,,,,
Greensight,greensight.ag,Agtech,Drone Data & Analytics,,,,,,,,,,,,,2020,,,,,,,,
Greentech Innovators,greentechinnovators.no,Surplus & Waste Mgmt,Upcycled Ingredients,,,,,,,,,,,,,2020,,,,,,,,
Greenvines,greenvines.com.tw,Next-Gen Food & Drink,Sprout-based Nutrition,,,,,,,,,,,,,2025,,,,,,,,
Grenade,grenade.com,Next-Gen Food & Drink,High-protein Snacks,,,,,,,,,,,,,2020,,,,,,,,
Greyparrot,greyparrot.ai,Surplus & Waste Mgmt,AI Waste Recognition,,,,,,,,,,,,,2020,,,,,,,,
Grid Analytics,https://www.google.com/search?q=grid-analytics.com,Consumer Apps & Services,Supply Chain Data,,,,,,,,,,,,,2020,,,,,,,,
GroGro,grogro-motsch.no,Next-Gen Food & Drinks,Functional Foods & Drinks,,,,,,,,,,,,,2020,,,,,,,,
Groots,groots.eco,Agtech,Vertical & Indoor Farming,,,,,,,,,,,,,2025,,,,,,,,
Grounded Foods,groundedfoods.com,Next-Gen Food & Drink,Hemp-based Cheese,,,,,,,,,,,,,2025,,,,,,,,
Groundwork BioAg,groundworkbioag.com,Agtech,Ag Biotech,,,,,,,,,,,,,2020,,,,,,,,
Grow Everywhere,groweverywhere.com,Agtech,Urban Farming Education,,,,,,,,,,,,,2025,,,,,,,,
Growcom,growcom.com.au,Agtech,Farm Industry Services,,,,,,,,,,,,,2020,,,,,,,,
Grower's Edge,growersedge.com,Agtech,Fintech for Farmers,,,,,,,,,,,,,2020,,,,,,,,
Growers,growers.ag,Agtech,Farm Data Management,,,,,,,,,,,,,2020,,,,,,,,
GrowinCo,growinco.com,Consumer Apps & Services,Retail Tech,,,,,,,,,,,,,2020,,,,,,,,
Growlink,growlink.com,Agtech,Environment Control Systems,,,,,,,,,,,,,2025,,,,,,,,
Growloam,https://www.google.com/search?q=growloam.com,Agtech,Sustainable Growing Media,,,,,,,,,,,,,2020,,,,,,,,
Growon,growon.ch,Agtech,Vertical Farming Solutions,,,,,,,,,,,,,2020,,,,,,,,
Growpact,https://www.google.com/search?q=growpact.com,Agtech,Greenhouse Automation,,,,,,,,,,,,,2020,,,,,,,,
Growritely,https://www.google.com/search?q=growritely.com,Agtech,Soil Monitoring Tech,,,,,,,,,,,,,2020,,,,,,,,
Grubhub,https://www.google.com/search?q=grubhub.com,Consumer Apps & Services,Food Delivery,,,,,,,,,,,,,2020,,,,,,,,
Grumly,https://www.google.com/search?q=grumly.com,Consumer Apps & Services,Restaurant Tech,,,,,,,,,,,,,2020,,,,,,,,
Gryllies,https://www.google.com/search?q=gryllies.com,Next-Gen Food & Drink,Insect-based Ingredients,,,,,,,,,,,,,2020,,,,,,,,
GTF Technologies,gtf-technologies.com,Food Processing,Novel Processing Techniques,,,,,,,,,,,,,2020,,,,,,,,
Guac,guac-ai.com,Surplus & Waste Mgmt,Food Waste Tech,,,,,,,,,,,,,2025,,,,,,,,
Gush,gush.com,Next-Gen Food & Drink,Functional Beverages,,,,,,,,,,,,,2025,,,,,,,,
Gusto,gusto.com,Kitchen & Restaurant Tech,HR & Payroll for Food Biz,,,,,,,,,,,,,2020,,,,,,,,
Gutly,gutly.com,Next-Gen Food & Drink,Probiotic Foods,,,,,,,,,,,,,2020,,,,,,,,
H-Farm,h-farm.com,Consumer Apps & Services,Food Innovation Hub,,,,,,,,,,,,,2020,,,,,,,,
H2O,h2o.ai,Consumer Apps & Services,AI for Food Logistics,,,,,,,,,,,,,2020,,,,,,,,
Hale,halelife.com,Consumer Apps & Services,Personalized Health Tech,,,,,,,,,,,,,2020,,,,,,,,
Hands Free Hectare,handsfree.hectare,Agtech,Autonomous Farming,,,,,,,,,,,,,2020,,,,,,,,
Harmony Baby Nutrition,harmonybabynutrition.com,Next-Gen Food & Drinks,Plant-based,,,,,,,,,,,,,2020,,,,,,,,
Harvest London,harvest.london,Agtech,Vertical Farming,,,,,,,,,,,,,2025,,,,,,,,
Harvest Storage,harveststorage.com,Food Safety & Traceability,Post-harvest Management,,,,,,,,,,,,,2020,,,,,,,,
Heallo,heallosolutions.com,Food Processing,Biotech/Synthetisation,,,,,,,,,,,,,2020,,,,,,,,
HealthifyMe,healthifyme.com,Consumer Apps & Services,AI Fitness & Nutrition,,,,,,,,,,,,,2025,,,,,,,,
HealthLabels,https://www.google.com/search?q=healthlabels.com,Food Safety & Traceability,Nutritional Labelling Tech,,,,,,,,,,,,,2020,,,,,,,,
Heartbest Foods,heartbestfoods.com,Next-Gen Food & Drink,Plant-based Dairy (LatAm),,,,,,,,,,,,,2020,,,,,,,,
Heat and Control,heatandcontrol.com,Food Processing,Food Manufacturing Tech,,,,,,,,,,,,,2020,,,,,,,,
Hectare Agritech,hectare.farm,Agtech,Online Grain Trading,,,,,,,,,,,,,2020,,,,,,,,
Helaina,myhelaina.com,Next-Gen Food & Drinks,Protein Fermentation,,,,,,,,,,,,,2020,,,,,,,,
Heliopas AI,heliopas.ai,Agtech,Irrigation Optimization,,,,,,,,,,,,,2025,,,,,,,,
Hellas Direct,hellasdirect.gr,Consumer Apps & Services,Insurtech for Supply Chain,,,,,,,,,,,,,2020,,,,,,,,
Help Me Feed,helpmefeed.org,Consumer Apps & Services,Nutrition Support Platform,,,,,,,,,,,,,2020,,,,,,,,
Hempoint,hempoint.cz,Next-Gen Food & Drink,Hemp-based Food,,,,,,,,,,,,,2020,,,,,,,,
Hempsmith,hempsmith.com,Next-Gen Food & Drink,Hemp Food Products,,,,,,,,,,,,,2020,,,,,,,,
Herbivore Botanicals,herbivorebotanicals.com,Next-Gen Food & Drink,Plant-based Ingredients,,,,,,,,,,,,,2020,,,,,,,,
HERBLABISM,https://www.google.com/search?q=herblabism.com,Next-Gen Food & Drinks,Plant-based Meat,,,,,,,,,,,,,2020,,,,,,,,
Heritable Agriculture,heritable.ag,Agtech,Ag Biotech,,,,,,,,,,,,,2021,,,,,,,,
High Time Foods,hightimefoods.com,Next-Gen Food & Drinks,Plant-based,,,,,,,,,,,,,2025,,,,,,,,
Hillridge Technology,hillridge.com.au,Agtech,Weather Insurance for Farmers,,,,,,,,,,,,,2025,,,,,,,,
Hippeas,hippeas.com,Next-Gen Food & Drink,Chickpea Snacks,,,,,,,,,,,,,2020,,,,,,,,
Hivery,hivery.com,Consumer Apps & Services,AI Vending Optimization,,,,,,,,,,,,,2020,,,,,,,,
Hooked,hookedfoods.com,Next-Gen Food & Drinks,Plant-based Seafood,,,,,,,,,,,,,2020,,,,,,,,
HowGood,howgood.com,Food Safety & Traceability,Sustainability Data,,,,,,,,,,,,,2021,,,,,,,,
Hoxton Farms,hoxtonfarms.com,Next-Gen Food & Drink,Cultivated Fat,,,,,,,,,,,,,2021,,,,,,,,
Humble+,humbleplus.com,Next-Gen Food & Drinks,Functional Foods & Drinks,,,,,,,,,,,,,2020,,,,,,,,
HyggeFoods,https://www.google.com/search?q=hyggefds.com,Next-Gen Food & Drink,Plant-based Nutrition,,,,,,,,,,,,,2025,,,,,,,,
HypeSound,hypesound.it,Food Processing,Novel Processing Techniques,,,,,,,,,,,,,2020,,,,,,,,
Idroplan,idroplan.it,AgTech,Smart Irrigation,,,,,,,,,,,,,2025,,,,,,,,
IGS,intelligentgrowthsolutions.com,Agtech,Vertical Farming,,,,,,,,,,,,,2020,,,,,,,,
IGS (Intelligent Growth Solutions),intelligentgrowthsolutions.com,AgTech,Vertical Farming Infrastructure,,,,,,,,,,,,,2021,,,,,,,,
Improved Nature,improvednature.com,Next-Gen Food & Drink,Plant-based Protein,,,,,,,,,,,,,2020,,,,,,,,
Improvin',improvin.com,Food Safety & Traceability,Supply Chain Monitoring,,,,,,,,,,,,,2020,,,,,,,,
In Ovo,inovo.nl,Agtech,Animal Welfare Tech,,,,,,,,,,,,,2025,,,,,,,,
Inbiose,inbiose.com,Food Processing,Biotech/Synthetisation,,,,,,,,,,,,,2021,,,,,,,,
Index Biosystems,indexbiosystems.com,Food Safety & Traceability,Supply Chain Monitoring,,,,,,,,,,,,,2025,,,,,,,,
Ingredalia,ingredalia.net,Surplus & Waste Mgmt,Upcycled Ingredients,,,,,,,,,,,,,2025,,,,,,,,
Innogando,innogando.com,Agtech,Farm Mgmt & Precision Farming,,,,,,,,,,,,,2025,,,,,,,,
Innoscentia,innoscentia.com,Food Safety & Traceability,Dynamic Expiry Labels,,,,,,,,,,,,,2025,,,,,,,,
InQube,inqube.biz,Agtech,Farm Mgmt & Precision Farming,,,,,,,,,,,,,2020,,,,,,,,
GenoPalate,genopalate.com,Consumer Apps & Services,DNA-based Nutrition,,,,,,,,,,,,,2025,,,,,,,,
Insectec,insectec.cr,Next-Gen Food & Drink,Insect Farming (Costa Rica),,,,,,,,,,,,,2020,,,,,,,,
Insignes Labs,insignes-labs.com,Agtech,Ag Biotech,,,,,,,,,,,,,2020,,,,,,,,
Insnack,insnack.de,Next-Gen Food & Drink,Insect-based Snacks,,,,,,,,,,,,,2025,,,,,,,,
Ypsicon Advanced Tech.,ypsicon.com,Food Processing,Beverage Sterilization,,,,,,,,,,,,,2020,,,,,,,,
Your Food Collective,yourfoodcollective.com,Consumer Apps & Services,Online Grocery,,,,,,,,,,,,,2020,,,,,,,,
IntegriCulture,integriculture.jp,Next-Gen Food & Drinks,Cellular Agriculture,,,,,,,,,,,,,2021,,,,,,,,
IntelliDigest,intellidigest.com,Surplus & Waste Mgmt,Circular Economy Solutions,,,,,,,,,,,,,2020,,,,,,,,
Acoustic Extra Freezing,geftrade.eu,Food Processing,Novel Processing Techniques,,,,,,,,,,,,,2020,,,,,,,,
Invert Robbins,https://www.google.com/search?q=invertrobbins.com,Food Processing,Robotics & Automation,,,,,,,,,,,,,2025,,,,,,,,
ÄIO,aio.bio,Surplus & Waste Mgmt,Upcycled Ingredients,,,,,,,,,,,,,2021,,,,,,,,
1-2-Taste,12taste.com,Food Delivery,B2B Marketplaces,,,,,,,,,,,,,2025,,,,,,,,
Irriot AB,irriot.com,AgTech,Wireless Precision Irrigation,,,,,,,,,,,,,2025,,,,,,,,
Ishida,ishida.com,Food Processing,Packaging & Weighing,,,,,,,,,,,,,2020,,,,,,,,
IUNU,iunu.com,Agtech,Precision Agriculture,,,,,,,,,,,,,2020,,,,,,,,
IUV,iuv.it,Food Safety & Traceability,Bio-based Edible Coatings,,,,,,,,,,,,,2021,,,,,,,,
Ivy Farm Technologies,ivy.farm,Next-Gen Food & Drinks,Cellular Agriculture,,,,,,,,,,,,,2020,,,,,,,,
Ixon Food Technology,ixon.com.hk,Food Processing,Sous-vide Aseptic Packaging,,,,,,,,,,,,,2025,,,,,,,,
Izote Biosciences,izote.bio,Food Processing,Biotech/Synthetisation,,,,,,,,,,,,,2020,,,,,,,,
3FBio,enough-food.com,Next-Gen Food & Drinks,Fungi-based Proteins,,,,,,,,,,,,,2025,,,,,,,,
Zero Bullshit,zerobullshit.it,Next-Gen Food & Drink,Clean Label Products,,,,,,,,,,,,,2020,,,,,,,,
Zero Carbon Food,https://www.google.com/search?q=growing-underground.com,Agtech,Vertical Farming,,,,,,,,,,,,,2020,,,,,,,,
ZeroCater,zerocater.com,Consumer Apps & Services,Corporate Catering,,,,,,,,,,,,,2020,,,,,,,,
Zest,zestsolutions.io,Surplus & Waste Mgmt,Food Waste Tech,,,,,,,,,,,,,2021,,,,,,,,
Jow,jow.com,Consumer Apps & Services,Meal Planning & Nutrition,,,,,,,,,,,,,2025,,,,,,,,
Zest Labs,https://www.google.com/search?q=zestlabs.com,Food Safety & Traceability,Post-harvest Management,,,,,,,,,,,,,2025,,,,,,,,
ZoomAgri,zoomagri.com,Food Safety & Traceability,Food Safety & Quality,,,,,,,,,,,,,2021,,,,,,,,
Kaffe bueno,kaffebueno.com,Surplus & Waste Mgmt,Circular Economy,,,,,,,,,,,,,2025,,,,,,,,
AgrigateOne,agrigateone.com,Food Safety & Traceability,Supply Chain Monitoring,,,,,,,,,,,,,2021,,,,,,,,
AgriTask,agritask.com,Agtech,Precision Agriculture,,,,,,,,,,,,,2025,,,,,,,,
KAMEREO,kamereo.vn,Food Delivery,B2B Marketplaces,,,,,,,,,,,,,2021,,,,,,,,
AgriWebb,agriwebb.com,Agtech,Livestock Management,,,,,,,,,,,,,2025,,,,,,,,
Karana,eatkarana.com,Next-Gen Food & Drink,Jackfruit-based Meat,,,,,,,,,,,,,2021,,,,,,,,
Agrobit,agrobit.ag,Agtech,Farm Mgmt & Precision Farming,,,,,,,,,,,,,2020,,,,,,,,
Katif,katif.tech,AgTech,Smart Greenhouse Control,,,,,,,,,,,,,2025,,,,,,,,
AgroGrIN Tech,agrogrintech.com,Surplus & Waste Mgmt,Upcycled Ingredients,,,,,,,,,,,,,2020,,,,,,,,
Kernel,kernel.com,AgTech,Ag-data Platform,,,,,,,,,,,,,2025,,,,,,,,
KETOS,ketos.co,Agtech,Farm Mgmt & Precision Farming,,,,,,,,,,,,,2020,,,,,,,,
Kiana,kianaagriculture.nl,Agtech,Ag Biotech,,,,,,,,,,,,,2025,,,,,,,,
Kibus Petcare,kibuspetcare.com,Kitchen & Restaurant Tech,Smart Device for Pet Food,,,,,,,,,,,,,2025,,,,,,,,
Kiinns,kiinns.com,Food Safety & Traceability,Food Surface Hygiene,,,,,,,,,,,,,2020,,,,,,,,
Kikleo,kikleo.com,Surplus & Waste Mgmt,Food Waste Tech,,,,,,,,,,,,,2020,,,,,,,,
Kinoko-Tech,N/a,Next-Gen Food & Drink,Fungi-based Fermentation,,,,,,,,,,,,,2025,,,,,,,,
AgroScout,agro-scout.com,Agtech,Farm Mgmt & Precision Farming,,,,,,,,,,,,,2020,,,,,,,,
AgroSustain,agrosustain.ch,Agtech,Ag Biotech,,,,,,,,,,,,,2025,,,,,,,,
Kitchin.app,kitchin.app,Kitchen & Restaurant Tech,Restaurant Management SaaS,,,,,,,,,,,,,2025,,,,,,,,
AgroVAR,agrovar.bg,Agtech,Farm Mgmt & Precision Farming,,,,,,,,,,,,,2020,,,,,,,,
Kitovu Technology,https://www.kitovu.com.ng/,AgTech,Data-driven Soil Analysis,,,,,,,,,,,,,2025,,,,,,,,
Agrovisio,agrovis.io,Agtech,Farm Mgmt & Precision Farming,,,,,,,,,,,,,2020,,,,,,,,
Klarys,klarys.io,Food Delivery,B2B Marketplaces,,,,,,,,,,,,,2025,,,,,,,,
Knead Technologies,kneadtech.com,Surplus & Waste Mgmt,Food Waste Tech,,,,,,,,,,,,,2025,,,,,,,,
Agroz,agroz.co,Agtech,Vertical & Indoor Farming,,,,,,,,,,,,,2025,,,,,,,,
Agteria,agteria.com,Agtech,Animal Health & Nutrition,,,,,,,,,,,,,2025,,,,,,,,
Koidra,koidra.ai,Agtech,Farm Mgmt & Precision Farming,,,,,,,,,,,,,2025,,,,,,,,
Kokomodo,thekokomodo.com,Next-Gen Food & Drinks,Cellular Agriculture,,,,,,,,,,,,,2025,,,,,,,,
Koolboks,koolboks.com,Food Safety & Traceability,Food Safety & Quality,,,,,,,,,,,,,2025,,,,,,,,
Koppie,koppie.eu,Next-Gen Food & Drinks,Plant-based,,,,,,,,,,,,,2025,,,,,,,,
Koralo,koralo-foods.com,Next-Gen Food & Drinks,Protein Fermentation,,,,,,,,,,,,,2025,,,,,,,,
Koroko,koroko.it,Next-Gen Food & Drink,Functional Algae Food,,,,,,,,,,,,,2025,,,,,,,,
Kosmode Health,kosmodehealth.com,Food Processing,Biotech/Synthetisation,,,,,,,,,,,,,2020,,,,,,,,
KptnCook,kptncook.com,Consumer Apps & Services,Recipe & Meal Planning App,,,,,,,,,,,,,2025,,,,,,,,
Kraken Sense Limited,krakensense.com,Food Safety & Traceability,Pathogen Detection Tech,,,,,,,,,,,,,2020,,,,,,,,
Kresko RNAtech,kreskornatech.com,Food Processing,Biotech/Synthetisation,,,,,,,,,,,,,2020,,,,,,,,
